___,.749,.365,.125
__1,1.218,.683,.261
_2_,1.657,.916,.421
_21,2.057,1.232,.538
3__,2.065,1.227,.488
3_1,2.359,1.482,.614
32_,2.624,1.651,.733
321,3.123,2.065,.950
