___,.698,.351,.134
__1,1.143,.645,.265
_2_,1.530,.873,.394
_21,1.910,1.126,.527
3__,1.873,1.183,.491
3_1,2.165,1.400,.583
32_,2.439,1.606,.714
321,2.773,1.923,.919
