___,.645,.330,.122
__1,1.086,.607,.251
_2_,1.373,.801,.361
_21,1.790,1.068,.489
3__,1.730,1.083,.433
3_1,2.0990,1.338,.573
32_,2.347,1.508,.654
321,2.769,1.813,.841
