___,1.003,0.426,0.150
__1,1.669,0.981,0.364
_2_,1.857,1.000,0.375
_21,2.211,1.400,0.700
3__,2.150,1.302,0.650
3_1,2.650,1.650,0.700
32_,2.850,1.700,0.750
321,2.900,1.900,0.920
