___,0.980,0.397,0.163
__1,1.682,0.962,0.347
_2_,1.857,1.101,0.491
_21,2.211,1.739,0.881
3__,2.400,1.302,0.709
3_1,2.800,1.800,0.736
32_,2.850,1.854,0.789
321,2.900,1.889,1.000
