"___",0.481,0.254,0.098
"__1",0.859,0.509,0.224 
"_2_",1.100,0.664,0.319 
"_21",1.437,0.884,0.429 
"3__",1.350,0.950,0.353
"3_1",1.784,1.130,0.478
"32_",1.964,1.376,0.580
"321",2.292,1.541,0.752
